trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.88}",20,2,-148.0532160476446,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 2}",1
2,False,"{'a': 0.01, 'e': 0.7744}",20,0,-107.54153570459707,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.681472}",25,0,-182.4653345647744,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.59969536}",25,0,-107.5295311197222,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.5277319168}",30,0,-107.98853660226386,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.46440408678399997}",20,0,-101.81922091914596,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.40867559636991996}",25,10,11.751037916070741,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.35963452480552954}",20,2,-3.4432631612258344,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.316478381828866}",20,15,-4.4955977784315415,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.2785009760094021}",30,19,7.418574909937023,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.24508085888827386}",20,7,24.497744080071723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.215671155821681}",20,13,14.370740092471777,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.1897906171230793}",25,11,18.999375571647306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.16701574306830977}",20,4,14.026557214628601,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.1469738539001126}",30,8,33.46636485934674,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.01, 'e': 0.1293369914320991}",30,15,12.209507768925121,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.1138165524602472}",20,13,8.032365798173252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.10015856616501755}",20,10,5.431908093606606,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.08813953822521545}",25,18,13.884236052015924,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.07756279363818959}",25,20,9.789958796222146,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.06825525840160684}",20,6,23.399330288746743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.060064627393414026}",20,13,11.577246609512054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.05285687210620434}",25,11,22.477042645937132,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.04651404745345982}",25,13,11.747072433748286,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.04093236175904464}",35,25,-20.869397671105943,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.01, 'e': 0.03602047834795928}",25,10,26.337247482758055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.03169802094620417}",20,16,5.757507487960025,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.02789425843265967}",30,21,15.42209162306773,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.02454694742074051}",20,13,10.968641432253905,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.02160131373025165}",20,10,17.5223307645307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.019009156082621454}",25,11,27.522459743955864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.01672805735270688}",20,6,4.602950095526969,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.014720690470382053}",25,13,22.883937092407216,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.012954207613936206}",25,11,22.99385072352392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.011399702700263862}",25,7,22.924205066563776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.010031738376232198}",20,0,24.395003583943033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.008827929771084335}",25,6,19.34615551133546,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.007768578198554215}",20,10,21.70436958988401,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.006836348814727709}",20,6,29.264510855576543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.006015986956960383}",30,15,22.67087100827722,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.005294068522125137}",25,11,24.11971292844064,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.004658780299470121}",20,13,11.358581510173638,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.004099726663533707}",25,14,24.152729545992592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.003607759463909662}",25,11,25.562597177970304,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.0031748283282405023}",20,8,23.020509461458172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.002793848928851642}",30,4,41.851401086360084,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.002458587057389445}",25,6,28.257809006088063,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.002163556610502712}",20,10,19.201489972012386,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.0019039298172423863}",20,9,21.881167862332,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.0016754582391733}",20,9,20.13231049794588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.001474403250472504}",20,8,24.342600977552326,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.0012974748604158036}",25,12,23.86196011835716,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.001141777877165907}",30,4,38.09575803950498,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.0010047645319059982}",20,11,19.17917217524587,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.0008841927880772785}",25,7,25.49654367139436,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,15,19.081297195794832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,23.78489034025609,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,14.89286139004874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,35.349061020049206,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,8.230601539558519,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,26.7052946252242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,13,26.417286748663596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,9,34.831631789734274,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,27.455121573935518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,13,30.040333173790994,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,16,7.289241227987079,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,16,30.297611251730924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,8,19.9211522565343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,7,39.0900142369504,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,14,12.564787899844337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,6,20.725083073373384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,14,12.374857417764709,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,8,16.508052281745453,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,5,23.069011293116546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,9,18.305282668218155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,10,15.913378903607093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,6,25.66836975057502,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,3,31.31434243078807,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",30,18,18.062852099140983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,0,25.905646703704136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,16,8.152303478739793,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,19,23.70642482059751,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,11,24.531512836716026,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,11,26.832403951693852,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,14,20.265156562844215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,12,16.582688051579737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,12,13.620409583333755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",25,12,20.28445426455118,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,8,20.524904014896084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",25,7,30.638333767338217,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,16,6.347840538261677,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",25,20,11.761634543757172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,2,31.575800489923747,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",20,0,28.63590651279979,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0, 'e': 0}",20,9,22.28816618415435,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,3,30.054566429795827,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,15,8.848800341279642,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,15,18.140028252449476,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,7,31.788992647213032,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,18,12.354473034780915,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",30,20,16.416856721414682,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",30,10,30.714065884916547,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,13,9.628471124295817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,14,9.232408981026202,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",25,17,15.06945923731074,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0, 'e': 0}",25,18,13.26600177083731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0, 'e': 0}",25,13,22.163880833108664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",20,2,35.19278290015714,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0, 'e': 0}",20,12,12.09594993115378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0, 'e': 0}",25,3,31.350766473973877,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",20,0,29.20080333209764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,True,"{'a': 0, 'e': 0}",25,10,26.024287447745817,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",20,13,15.963608334081906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0, 'e': 0}",20,10,15.770810881350588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",25,12,24.259742515898584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0, 'e': 0}",25,11,23.23019385805714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0, 'e': 0}",20,10,16.412070342067917,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0, 'e': 0}",25,11,27.68044486448558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",30,20,21.470676302620085,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",25,11,27.92972925754541,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",20,8,19.699592454865858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",30,17,25.854177188833575,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",25,13,21.536498616416768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",30,21,12.714429754236205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",20,12,17.914416440636632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",30,10,39.324709635892034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",20,10,20.71049155927651,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",30,18,17.013997778365407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0, 'e': 0}",20,0,22.65005112735871,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,True,"{'a': 0, 'e': 0}",20,3,29.509047140850946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,11,21.339935924748737,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0, 'e': 0}",20,11,12.483827989424846,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,8,17.417895626189313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",35,13,39.75111223290247,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",25,0,36.222598691763885,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",20,11,19.842810977155064,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,12,11.830229969166432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",30,16,29.381677296781124,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,5,22.447952976704663,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",25,7,24.31053601105753,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0, 'e': 0}",20,8,16.595745685317286,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",20,10,16.2095272862492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,9,22.923853604904235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",35,20,19.369068805830015,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",20,8,22.03155159898306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",20,13,13.116859904933314,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",30,13,25.850192382630617,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,12,12.61091985608407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",35,25,22.594501845461924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,2,33.489216388165396,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",25,7,22.416487358352267,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",25,10,27.591010747909323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",20,10,19.29318823018799,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",30,16,23.057629391339635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,True,"{'a': 0, 'e': 0}",25,13,19.208810100045866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
